2024-07-09 14:10:19,805 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Configure stats pid to 388759
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Loading settings from /home/yunqiliu/.config/wandb/settings
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Loading settings from /home/yunqiliu/octo/examples/wandb/settings
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'examples/03_eval_finetuned.py', 'program_abspath': '/home/yunqiliu/octo/examples/03_eval_finetuned.py', 'program': '/home/yunqiliu/octo/examples/03_eval_finetuned.py'}
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_init.py:_log_setup():520] Logging user logs to /home/yunqiliu/octo/examples/wandb/run-20240709_141019-g1kqpz3v/logs/debug.log
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_init.py:_log_setup():521] Logging internal logs to /home/yunqiliu/octo/examples/wandb/run-20240709_141019-g1kqpz3v/logs/debug-internal.log
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_init.py:init():560] calling init triggers
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_init.py:init():610] starting backend
2024-07-09 14:10:19,806 INFO    MainThread:388759 [wandb_init.py:init():614] setting up manager
2024-07-09 14:10:19,808 INFO    MainThread:388759 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-09 14:10:19,809 INFO    MainThread:388759 [wandb_init.py:init():622] backend started and connected
2024-07-09 14:10:19,813 INFO    MainThread:388759 [wandb_init.py:init():711] updated telemetry
2024-07-09 14:10:19,820 INFO    MainThread:388759 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-09 14:10:20,541 INFO    MainThread:388759 [wandb_run.py:_on_init():2402] communicating current version
2024-07-09 14:10:20,837 INFO    MainThread:388759 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-09 14:10:20,838 INFO    MainThread:388759 [wandb_init.py:init():795] starting run threads in backend
